appid,maxccu,success_class,suc_class,followers
1272460,2,F,0,32
380130,1,F,0,620
398950,2,F,0,246
381290,1,F,0,390
431470,1,F,0,55
441850,3,F,0,234
463130,1,F,0,35
499390,1,F,0,51
496160,2,F,0,0
494020,2,F,0,62
495770,1,F,0,29
509830,1,F,0,37
519550,2,F,0,32
517770,10,F,0,35
525590,7,F,0,82
528790,1,F,0,55
455480,2,F,0,47
543150,1,F,0,66
533280,1,F,0,33
514510,2,F,0,105
552150,1,F,0,28
543120,1,F,0,54
553680,1,F,0,33
566810,1,F,0,40
372980,5,F,0,90
566800,2,F,0,25
564140,2,F,0,87
573280,2,F,0,28
570340,2,F,0,51
579030,1,F,0,25
575080,1,F,0,37
377010,1,F,0,146
589180,1,F,0,17
600260,2,F,0,99
601760,2,F,0,59
580060,2,F,0,24
594760,1,F,0,30
579580,2,F,0,99
602040,1,F,0,17
592360,1,F,0,33
565490,3,F,0,76
609400,2,F,0,113
590570,1,F,0,49
586890,2,F,0,20
567700,3,F,0,53
602150,1,F,0,44
377000,2,F,0,48
648380,2,F,0,30
650990,2,F,0,17
459050,1,F,0,27
658390,2,F,0,26
660820,1,F,0,22
664080,1,F,0,35
673630,2,F,0,43
642570,2,F,0,12
661410,1,F,0,30
681920,1,F,0,17
667450,1,F,0,25
683960,1,F,0,36
681030,2,F,0,42
665060,1,F,0,20
678570,1,F,0,82
680560,1,F,0,26
691850,1,F,0,39
693500,1,F,0,18
682000,1,F,0,22
672480,1,F,0,42
685730,2,F,0,39
682820,5,F,0,34
431030,3,F,0,181
700050,1,F,0,19
596730,1,F,0,173
696050,1,F,0,25
711310,2,F,0,45
544370,1,F,0,27
534660,2,F,0,31
674360,1,F,0,14
663220,1,F,0,38
698340,2,F,0,66
700610,2,F,0,23
658250,2,F,0,39
709020,2,F,0,79
706210,2,F,0,0
717910,2,F,0,18
701580,1,F,0,33
710990,1,F,0,22
603970,2,F,0,34
730010,1,F,0,24
713070,1,F,0,77
732680,1,F,0,28
736610,2,F,0,23
710650,3,F,0,43
699470,2,F,0,71
716220,4,F,0,103
716480,2,F,0,43
735540,2,F,0,44
689850,2,F,0,52
744890,1,F,0,46
703820,2,F,0,14
725320,1,F,0,43
717380,3,F,0,50
729910,3,F,0,40
729340,1,F,0,41
720330,2,F,0,41
741080,2,F,0,0
713390,2,F,0,48
753630,1,F,0,32
744280,1,F,0,16
758140,1,F,0,22
620180,2,F,0,279
744450,2,F,0,17
600180,8,F,0,0
740560,1,F,0,58
765240,1,F,0,12
770790,1,F,0,12
667630,1,F,0,16
778710,1,F,0,23
773910,1,F,0,28
789980,1,F,0,20
792470,2,F,0,129
685970,1,F,0,13
690840,2,F,0,17
789700,2,F,0,23
800710,1,F,0,24
725890,1,F,0,62
766070,2,F,0,28
780930,1,F,0,0
778430,1,F,0,51
804680,6,F,0,76
806930,11,F,0,43
793570,1,F,0,53
810080,2,F,0,36
796580,2,F,0,17
796800,2,F,0,72
816200,1,F,0,18
812470,1,F,0,28
816930,1,F,0,14
819370,1,F,0,26
818640,1,F,0,24
821480,1,F,0,46
815620,1,F,0,9
816840,1,F,0,15
822840,1,F,0,47
826580,2,F,0,29
831350,1,F,0,17
819660,1,F,0,51
